track_name,artist,energy,danceability,valence,tempo
White Christmas,"Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers",0.25,0.23451403616547864,0.19,121
It's the Most Wonderful Time of the Year,Andy Williams,0.6,0.2402636288673127,0.76,84
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,0.3,0.2561353918335281,0.17,141
Dawn FM,The Weeknd,0.49,0.27236191980938307,0.1,130
Starry Eyes,The Weeknd,0.41,0.2825256782032749,0.13,90
"I'm Tired - From ""Euphoria"" An Original HBO Series",Labrinth,0.2,0.2807862735231737,0.26,152
traitor,"Juan Cruz Toledo, Huilen Toledo",0.33,0.29465104501131806,0.12,156
Happier Than Ever,Billie Eilish,0.24,0.317963690048119,0.31,144
Notion,The Rare Occasions,0.88,0.3189733479185013,0.3,144
Down Under (feat. Colin Hay),"Luude, Colin Hay",0.86,0.3197606953765232,0.04,157
Still Don't Know My Name,Labrinth,0.63,0.311657674773473,0.31,93
I Was Never There,"The Weeknd, Gesaffelstein",0.74,0.32839567226359173,0.17,72
Iris,The Goo Goo Dolls,0.72,0.3200841263326633,0.49,91
Demons,Imagine Dragons,0.71,0.330930830269897,0.38,122
Happy Xmas (War Is Over),"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",0.61,0.33283814219482116,0.39,71
On Time (with John Legend),"John Legend, Metro Boomin",0.59,0.3374099820622984,0.51,157
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",0.57,0.340875716244665,0.32,99
Car's Outside,James Arthur,0.56,0.34967857937158464,0.24,107
Until I Found You,Stephen Sanchez,0.51,0.3465363048257648,0.25,71
All I Want for Christmas Is You,Mariah Carey,0.63,0.3488973737846715,0.33,133
Christmas (Baby Please Come Home),Darlene Love,0.76,0.343352351918967,0.35,129
Static,Steve Lacy,0.31,0.34786669016702043,0.22,90
Sweet Nothing,Taylor Swift,0.16,0.34751408479667245,0.39,102
lovely - Bonus Track,"Billie Eilish, Khalid",0.3,0.3555940791471426,0.12,145
It's Beginning To Look A Lot Like Christmas,Michael Bublï¿,0.23,0.3582522405564017,0.38,127
Freaks,Surf Curse,0.94,0.3555268270601937,0.41,91
Mr. Brightside,The Killers,0.93,0.35319690373573237,0.24,158
Boyfriend,Dove Cameron,0.61,0.3537340189285251,0.23,118
The Hills,The Weeknd,0.57,0.369568422627668,0.12,128
Nobody Gets Me,SZA,0.28,0.3666772083136722,0.28,111
The Christmas Song (Merry Christmas To You) - Remastered 1999,Nat King Cole,0.15,0.3667567470001437,0.22,129
In The Stars,Benson Boone,0.54,0.36942476580998024,0.3,149
Apocalypse,Cigarettes After Sex,0.47,0.3759691214756083,0.17,84
All For Us - from the HBO Original Series Euphoria,"Labrinth, Zendaya",0.67,0.3761054862073933,0.17,131
Crown,Kendrick Lamar,0.24,0.37599416595052026,0.14,131
Good Looking,Suki Waterhouse,0.56,0.37785693965736583,0.27,116
Bound 2,Kanye West,0.66,0.37144010277289313,0.28,131
Sparks,Coldplay,0.27,0.3706186190100473,0.17,120
